Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Fraction 11	Fraction 12	Fraction 13	Fraction 14	Fraction 15	Fraction 16	Fraction 17	Fraction 18	Q-value	Score	Reporter intensity 0	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity not corrected 0	Reporter intensity not corrected 1	Reporter intensity not corrected 2	Reporter intensity not corrected 3	Reporter intensity count 0	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Intensity	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
O15173	O15173	5	4	4	Membrane-associated progesterone receptor component 2	PGRMC2	>sp|O15173|PGRC2_HUMAN Membrane-associated progesterone receptor component 2 OS=Homo sapiens GN=PGRMC2 PE=1 SV=1	1	5	4	4	17.9	13.9	13.9	23.818	223	223	4.2	1		2				2												0	5.1281	9750	6709.5	5529.8	6269.8	9750	6709.5	5529.8	6269.8	2	2	2	2	1568100000	5				236	4617;7730;9366;12460;16032	True;True;True;False;True	4830;8072;9779;13018;16745	7431;12469;15014;20045;26224;26225	7647;12833;15416;20584;26971;26972	7647;12833;15416;20584;26972		
O15212	O15212	8	8	8	Prefoldin subunit 6	PFDN6	>sp|O15212|PFD6_HUMAN Prefoldin subunit 6 OS=Homo sapiens GN=PFDN6 PE=1 SV=1	1	8	8	8	34.9	34.9	34.9	14.582	129	129	7.36				1	4	2	2	1		1	1	2							0	32.801	50797	62802	61922	67846	50797	62802	61922	67846	9	9	9	9	2112700000	14				237	8993;18254;19730;19731;21409;22383;29104;29561	True;True;True;True;True;True;True;True	9393;19069;20603;20604;22334;23362;30597;31073	14426;14427;14428;29770;29771;32038;32039;34653;34654;36180;47014;47706;47707;47708	14818;14819;14820;30594;30595;32893;32894;35556;35557;37135;48181;48880;48881;48882	14818;30594;32893;32894;35556;37135;48181;48881		
O15213	O15213	3	3	3	WD repeat-containing protein 46	WDR46	>sp|O15213|WDR46_HUMAN WD repeat-containing protein 46 OS=Homo sapiens GN=WDR46 PE=1 SV=3	1	3	3	3	4.6	4.6	4.6	68.07	610	610	15.7															2		1		0	6.4177	12081	6186.1	3074.1	3124.2	12081	6186.1	3074.1	3124.2	2	2	2	2	374310000	3				238	1706;8153;14027	True;True;True	1775;8507;14648	2795;13122;22624	2891;13497;23226	2891;13497;23226		
O15226	O15226	7	7	7	NF-kappa-B-repressing factor	NKRF	>sp|O15226|NKRF_HUMAN NF-kappa-B-repressing factor OS=Homo sapiens GN=NKRF PE=1 SV=2	1	7	7	7	10.3	10.3	10.3	77.672	690	690	7.14	1					2		2		1	1								0	17.797	44557	30717	27316	31340	44557	30717	27316	31340	5	5	5	5	291500000	7				239	4372;13879;26993;28129;29614;34317;38675	True;True;True;True;True;True;True	4575;14488;28410;29595;31127;36083;40657	7028;22320;43885;45558;47789;55362;62472	7233;22920;45019;46705;48967;56785;64114	7233;22920;45019;46705;48967;56785;64114		
O15228	O15228	4	4	4	Dihydroxyacetone phosphate acyltransferase	GNPAT	>sp|O15228|GNPAT_HUMAN Dihydroxyacetone phosphate acyltransferase OS=Homo sapiens GN=GNPAT PE=1 SV=1	1	4	4	4	7.9	7.9	7.9	77.187	680	680	10						2						1				1			0	13.535	43521	31374	32748	37284	43521	31374	32748	37284	3	3	3	3	152550000	4				240	12284;17675;29960;35350	True;True;True;True	12840;18472;31491;37179	19798;28896;48325;57049	20333;29704;49508;58540	20333;29704;49508;58540		
O15230	O15230	6	6	6	Laminin subunit alpha-5	LAMA5	>sp|O15230|LAMA5_HUMAN Laminin subunit alpha-5 OS=Homo sapiens GN=LAMA5 PE=1 SV=8	1	6	6	6	1.9	1.9	1.9	399.73	3695	3695	9.83		2										2			1	1			0	13.558	25372	21309	17701	20860	25372	21309	17701	20860	5	5	5	5	210160000	6				241	3432;5142;11734;13132;28593;35012	True;True;True;True;True;True	3591;5371;12257;13717;30074;36822	5566;8256;18810;21127;46259;56464	5737;8487;19317;21688;47416;57910	5737;8487;19317;21688;47416;57910		
O15231	O15231	16	16	16	Zinc finger protein 185	ZNF185	>sp|O15231|ZN185_HUMAN Zinc finger protein 185 OS=Homo sapiens GN=ZNF185 PE=1 SV=3	1	16	16	16	33.1	33.1	33.1	73.525	689	689	11.6					1	2		2	1	1		3	1	1	1	2		2	0	68.771	41181	40734	37229	36058	41181	40734	37229	36058	8	8	8	8	969250000	17				242	2644;3380;9469;12407;13377;13592;18738;26644;28346;31407;31778;31914;32144;32635;34587;39379	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2769;3535;9888;12965;13967;14189;19574;28043;29820;33020;33409;33552;33791;34305;36368;41388	4327;5486;15178;19976;21495;21496;21845;30459;43332;45865;50631;51213;51426;51770;52534;55763;63614	4458;5657;15581;20515;22063;22064;22431;31290;44456;47015;51908;52505;52720;53069;53879;57191;65291	4458;5657;15581;20515;22063;22431;31290;44456;47015;51908;52505;52720;53069;53879;57191;65291		
O15234	O15234	4	4	4	Protein CASC3	CASC3	>sp|O15234|CASC3_HUMAN Protein CASC3 OS=Homo sapiens GN=CASC3 PE=1 SV=2	1	4	4	4	5.1	5.1	5.1	76.277	703	703	4.5			1	1	1	1													0	10.971	4034.9	4629	4790.1	4584.6	4034.9	4629	4790.1	4584.6	2	2	2	2	353830000	4				243	1103;12528;13189;17768	True;True;True;True	1146;13086;13775;18569	1795;20145;21218;29038	1862;20685;21783;29846	1862;20685;21783;29846		
O15258	O15258	2	2	2	Protein RER1	RER1	>sp|O15258|RER1_HUMAN Protein RER1 OS=Homo sapiens GN=RER1 PE=1 SV=1	1	2	2	2	9.2	9.2	9.2	22.958	196	196	12									1						1				0	4.7373	5869.3	4306.5	2694.1	3446.2	5869.3	4306.5	2694.1	3446.2	1	1	1	1	610910000	2				244	27914;38978	True;True	29376;40970	45255;62957	46402;64608	46402;64608		
O15260	O15260	3	3	3	Surfeit locus protein 4	SURF4	>sp|O15260|SURF4_HUMAN Surfeit locus protein 4 OS=Homo sapiens GN=SURF4 PE=1 SV=3	1	3	3	3	11.5	11.5	11.5	30.394	269	269	7.67						3	2	2		1	1								0	20.3	23129	16643	13047	15761	23129	16643	13047	15761	4	4	4	4	1476100000	9				245	19489;28654;31268	True;True;True	20353;30136;32853;32854	31645;31646;46342;46343;50360;50361;50362;50363;50364	32492;32493;47499;47500;51633;51634;51635;51636;51637	32493;47500;51634	86	141
O15269	O15269	4	4	4	Serine palmitoyltransferase 1	SPTLC1	>sp|O15269|SPTC1_HUMAN Serine palmitoyltransferase 1 OS=Homo sapiens GN=SPTLC1 PE=1 SV=1	1	4	4	4	7.8	7.8	7.8	52.743	473	473	11.8											2	1	1						0	9.303	17343	10751	11927	13116	17343	10751	11927	13116	2	2	2	2	563730000	4				246	2162;21606;30260;30573	True;True;True;True	2250;22537;31802;32136	3534;34972;48767;49279	3642;35909;49957;50483	3642;35909;49957;50483		
O15270	O15270	2	2	2	Serine palmitoyltransferase 2	SPTLC2	>sp|O15270|SPTC2_HUMAN Serine palmitoyltransferase 2 OS=Homo sapiens GN=SPTLC2 PE=1 SV=1	1	2	2	2	3.2	3.2	3.2	62.924	562	562	8				1								1							0	6.3632	18165	12613	13217	13558	18165	12613	13217	13558	2	2	2	2	67167000	2				247	7949;26246	True;True	8296;27625	12807;42703	13175;43818	13175;43818		
O15287	O15287	2	2	2	Fanconi anemia group G protein	FANCG	>sp|O15287|FANCG_HUMAN Fanconi anemia group G protein OS=Homo sapiens GN=FANCG PE=1 SV=1	1	2	2	2	3.1	3.1	3.1	68.553	622	622	9			1												1				0.00041	3.3123	0	0	0	0	0	0	0	0	0	0	0	0	95721000	2				248	35;12519	True;True	35;13077	51;20131	51;20671	51;20671		
O15294	O15294	9	9	9	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	OGT	>sp|O15294|OGT1_HUMAN UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit OS=Homo sapiens GN=OGT PE=1 SV=3	1	9	9	9	9.7	9.7	9.7	116.92	1046	1046	12.8				1						3			1	1		1	3		0	39.791	5095.3	4930.8	4114	5128.8	5095.3	4930.8	4114	5128.8	3	3	3	3	957980000	10				249	962;5851;13131;16719;16741;20514;23429;24291;33469	True;True;True;True;True;True;True;True;True	999;6119;13716;17480;17503;21416;24440;25467;35188	1532;9402;21126;27413;27454;33290;37780;37781;39351;53986	1571;9680;21687;28201;28246;34176;38773;38774;40363;55382	1571;9680;21687;28201;28246;34176;38774;40363;55382		
O15305	O15305	5	5	5	Phosphomannomutase 2	PMM2	>sp|O15305|PMM2_HUMAN Phosphomannomutase 2 OS=Homo sapiens GN=PMM2 PE=1 SV=1	1	5	5	5	18.3	18.3	18.3	28.082	246	246	11			1					1					3			1			0	10.613	17324	28528	26395	26233	17324	28528	26395	26233	3	3	3	3	583550000	6				250	8272;10935;14709;15526;25182	True;True;True;True;True	8628;11420;15368;16220;26504	13286;13287;17530;23941;25381;40960	13663;13664;18011;24603;26082;42026	13664;18011;24603;26082;42026		
O15320;Q96PC5;Q8IX95;Q96RT6	O15320;Q96PC5	3;3;1;1	3;3;1;1	3;3;1;1	cTAGE family member 5;Melanoma inhibitory activity protein 2	CTAGE5;MIA2	>sp|O15320|CTGE5_HUMAN cTAGE family member 5 OS=Homo sapiens GN=CTAGE5 PE=1 SV=4;>sp|Q96PC5|MIA2_HUMAN Melanoma inhibitory activity protein 2 OS=Homo sapiens GN=MIA2 PE=1 SV=4	4	3	3	3	5.5	5.5	5.5	90.995	804	804;1412;158;745	10					1						1			1					0	11.055	5127.7	3871	3476.9	3653.6	5127.7	3871	3476.9	3653.6	1	1	1	1	61766000	3				251	971;9782;27718	True;True;True	1008;10213;29159	1542;15691;44950	1581;16124;46096	1581;16124;46096		
O15344;Q9UJV3	O15344	6;1	6;1	6;1	E3 ubiquitin-protein ligase Midline-1	MID1	>sp|O15344|TRI18_HUMAN E3 ubiquitin-protein ligase Midline-1 OS=Homo sapiens GN=MID1 PE=1 SV=1	2	6	6	6	9.6	9.6	9.6	75.25	667	667;735	8.75	2					2		1						1			2		0	27.773	27568	28907	24783	28478	27568	28907	24783	28478	4	4	4	4	592180000	8				252	911;3204;7475;12477;20743;26234	True;True;True;True;True;True	947;3346;7806;13035;21650;27612	1449;5176;12071;20069;33650;33651;42685;42686	1487;5329;12415;20608;34540;34541;43800;43801	1487;5329;12415;20608;34541;43801		
O15347	O15347	8	7	7	High mobility group protein B3	HMGB3	>sp|O15347|HMGB3_HUMAN High mobility group protein B3 OS=Homo sapiens GN=HMGB3 PE=1 SV=4	1	8	7	7	29.5	26	26	22.98	200	200	11.6			1				1		2		1				1	2		1	0	33.226	27942	19792	20761	27055	27942	19792	20761	27055	4	4	4	4	3174500000	10				253	7732;17452;18156;18429;25899;32137;32138;38709	True;False;True;True;True;True;True;True	8074;18242;18969;19257;27262;33783;33784;40693	12472;28574;29640;30028;42114;51759;51760;51761;62542;62543	12836;29381;30460;30461;30854;43207;53058;53059;53060;64186;64187	12836;29381;30460;30854;43207;53059;53060;64187		
O15355	O15355	14	14	14	Protein phosphatase 1G	PPM1G	>sp|O15355|PPM1G_HUMAN Protein phosphatase 1G OS=Homo sapiens GN=PPM1G PE=1 SV=1	1	14	14	14	22.7	22.7	22.7	59.271	546	546	8.85	3	4	1	1		2	1	1	2	2	1	1			2	1	3	2	0	79.073	95438	123170	118770	135600	95438	123170	118770	135600	19	19	19	19	8052200000	27				254	1479;1856;3904;4171;4225;9036;12415;23143;25652;26215;26216;27680;38877;39139	True;True;True;True;True;True;True;True;True;True;True;True;True;True	1540;1931;4085;4368;4424;9438;12973;24146;26992;27592;27593;29121;40868;41136	2449;2450;3039;3040;3041;3042;6318;6726;6795;14505;14506;19984;19985;37317;37318;37319;41715;41716;41717;41718;41719;42654;42655;42656;44893;62799;63225	2540;2541;3137;3138;3139;3140;6503;6913;6982;14900;14901;20523;20524;38294;38295;38296;42797;42798;42799;42800;42801;43769;43770;43771;46037;64447;64893	2541;3138;6503;6913;6982;14901;20523;38295;42800;43769;43771;46037;64447;64893		
O15357	O15357	21	21	21	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	INPPL1	>sp|O15357|SHIP2_HUMAN Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 OS=Homo sapiens GN=INPPL1 PE=1 SV=2	1	21	21	21	20	20	20	138.6	1258	1258	10.2	1	2	2	1		1	2	2	2	2	1	1	2	1		3	5		0	120.17	116300	131600	130630	151280	116300	131600	130630	151280	14	14	14	14	2479300000	28				255	2152;3054;4578;6417;8193;13406;16082;19721;20048;20641;21469;21664;29156;29678;30183;30759;33491;33890;35295;35753;36822	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2240;3190;4789;6707;8547;13996;16797;20593;20926;21546;22395;22595;30650;31194;31723;32330;35211;35627;37122;37594;38717	3520;4948;4949;7368;10327;13173;21539;26307;32018;32019;32505;33485;34743;34744;35051;47079;47889;47890;48652;48653;49586;54026;54027;54678;56968;57670;59479;59480	3626;5093;5094;7584;10622;13550;22107;27057;32873;32874;33372;34374;35647;35648;35988;48246;49067;49068;49840;49841;50823;55422;55423;56090;58458;59173;61036;61037	3626;5093;7584;10622;13550;22107;27057;32873;33372;34374;35647;35988;48246;49068;49841;50823;55423;56090;58458;59173;61036		
O15360	O15360	5	5	5	Fanconi anemia group A protein	FANCA	>sp|O15360|FANCA_HUMAN Fanconi anemia group A protein OS=Homo sapiens GN=FANCA PE=1 SV=2	1	5	5	5	4.1	4.1	4.1	162.77	1455	1455	12.6							1		2						2	1	1		0	13.386	11723	11082	10699	12659	11723	11082	10699	12659	4	4	4	4	149530000	7				256	823;2999;3786;31092;35118	True;True;True;True;True	855;3132;3133;3960;32670;36936	1323;1324;4876;4877;6127;50110;56633	1361;1362;5021;5022;6311;51368;58079	1362;5021;6311;51368;58079	87	342
O15371	O15371	13	13	13	Eukaryotic translation initiation factor 3 subunit D	EIF3D	>sp|O15371|EIF3D_HUMAN Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens GN=EIF3D PE=1 SV=1	1	13	13	13	25.5	25.5	25.5	63.972	548	548	8.83		2	2		2	1				3	1	3	2	1		1			0	89.643	52402	60415	53388	59981	52402	60415	53388	59981	7	7	7	7	3090900000	18				257	5542;10508;11368;15341;20271;27513;32395;33833;35081;35082;38295;39106;39214	True;True;True;True;True;True;True;True;True;True;True;True;True	5792;10978;11876;16027;21155;28950;34048;35566;36898;36899;40261;41101;41217	8889;8890;16868;18219;18220;25042;25043;25044;32864;44649;52128;54577;56575;56576;56577;61848;63171;63343	9144;9145;17326;18722;18723;25730;25731;25732;33742;45789;53448;55987;58021;58022;58023;63479;64839;65014	9144;17326;18723;25731;33742;45789;53448;55987;58021;58023;63479;64839;65014		
O15372	O15372	8	8	8	Eukaryotic translation initiation factor 3 subunit H	EIF3H	>sp|O15372|EIF3H_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens GN=EIF3H PE=1 SV=1	1	8	8	8	22.7	22.7	22.7	39.93	352	352	9.77		1				2			4	1		2	2				1		0	93.369	29941	41971	33948	35114	29941	41971	33948	35114	10	10	10	10	2302900000	13				258	7005;7216;11640;17534;20138;29427;32656;35392	True;True;True;True;True;True;True;True	7315;7535;12157;18326;21017;30936;34328;37222	11295;11296;11619;11620;11621;18656;28691;28692;32642;47511;52570;52571;57110	11602;11603;11936;11937;11938;19163;29498;29499;33511;48683;53915;53916;58601	11602;11938;19163;29499;33511;48683;53916;58601		
O15379	O15379	3	3	3	Histone deacetylase 3	HDAC3	>sp|O15379|HDAC3_HUMAN Histone deacetylase 3 OS=Homo sapiens GN=HDAC3 PE=1 SV=2	1	3	3	3	7.9	7.9	7.9	48.847	428	428	9.75				1					2								1		0	8.4833	0	0	0	0	0	0	0	0	0	0	0	0	421570000	4				259	28403;37507;39433	True;True;True	29877;39445;41442	45956;60578;60579;63690	47107;62157;62158;65367	47107;62157;65367		
O15381	O15381	11	11	11	Nuclear valosin-containing protein-like	NVL	>sp|O15381|NVL_HUMAN Nuclear valosin-containing protein-like OS=Homo sapiens GN=NVL PE=1 SV=1	1	11	11	11	15.7	15.7	15.7	95.05	856	856	11.4			1			1		1		3	1	1				2	1	1	0	65.628	55475	48470	45604	50420	55475	48470	45604	50420	6	6	6	6	449810000	12				260	5927;7348;9063;12504;12934;13640;14032;17779;18428;36879;37899	True;True;True;True;True;True;True;True;True;True;True	6198;7675;9465;13062;13516;14241;14653;18580;18581;19256;38777;39854	9526;11878;14542;20109;20824;21922;22631;29052;29053;30027;59571;61255	9806;12209;14937;20648;21376;22508;23233;29860;29861;30853;61129;62876	9806;12209;14937;20648;21376;22508;23233;29861;30853;61129;62876	88	141
O15382	O15382	5	5	5	Branched-chain-amino-acid aminotransferase, mitochondrial	BCAT2	>sp|O15382|BCAT2_HUMAN Branched-chain-amino-acid aminotransferase, mitochondrial OS=Homo sapiens GN=BCAT2 PE=1 SV=2	1	5	5	5	17.1	17.1	17.1	44.287	392	392	7.83	2									2		1	1						0	49.002	37072	27981	30707	28758	37072	27981	30707	28758	5	5	5	5	537280000	6				261	75;9167;12340;25579;28315	True;True;True;True;True	75;9573;12897;26917;29788	110;14706;19888;41592;45814;45815	110;15106;20426;42664;46964;46965	110;15106;20426;42664;46965		
O15397	O15397	8	7	7	Importin-8	IPO8	>sp|O15397|IPO8_HUMAN Importin-8 OS=Homo sapiens GN=IPO8 PE=1 SV=2	1	8	7	7	9	8	8	119.94	1037	1037	8		1		3					1	1	1	1				1			0	18.882	12316	10558	11755	12350	12316	10558	11755	12350	2	2	2	2	289150000	9				262	4266;8947;10063;14805;15261;21357;26682;32623	True;True;True;True;True;False;True;True	4468;9343;10508;15470;15941;22282;28082;34289	6859;6860;14343;14344;16132;24150;24901;34575;43391;52509	7046;7047;14735;14736;16572;24814;25584;35475;44516;53854	7047;14736;16572;24814;25584;35475;44516;53854		
O15400	O15400	9	9	9	Syntaxin-7	STX7	>sp|O15400|STX7_HUMAN Syntaxin-7 OS=Homo sapiens GN=STX7 PE=1 SV=4	1	9	9	9	31	31	31	29.815	261	261	12.3			1			2						1	2		2	3	1		0	57.76	76247	54800	56713	56168	76247	54800	56713	56168	8	8	8	8	1758800000	12				263	6931;8927;8928;16864;23187;28266;33838;37456;37457	True;True;True;True;True;True;True;True;True	7237;9323;9324;17629;24192;29738;35572;39392;39393	11169;11170;14317;14318;27665;37387;45749;45750;54589;54590;60508;60509	11473;11474;14709;14710;28458;38365;46898;46899;55999;56000;62087;62088	11474;14709;14710;28458;38365;46898;55999;62087;62088		
O15403	O15403	3	3	3	Monocarboxylate transporter 7	SLC16A6	>sp|O15403|MOT7_HUMAN Monocarboxylate transporter 7 OS=Homo sapiens GN=SLC16A6 PE=1 SV=2	1	3	3	3	5.9	5.9	5.9	57.393	523	523	7.33	1						1							1					0	7.2428	34747	23111	12984	14098	34747	23111	12984	14098	1	1	1	1	93230000	3				264	6604;26441;36127	True;True;True	6902;27837;37984	10649;43016;58287	10946;44136;59805	10946;44136;59805	89	520
O15427	O15427	3	3	3	Monocarboxylate transporter 4	SLC16A3	>sp|O15427|MOT4_HUMAN Monocarboxylate transporter 4 OS=Homo sapiens GN=SLC16A3 PE=1 SV=1	1	3	3	3	6	6	6	49.469	465	465	10.1	2										2			1	1			1	0	6.3648	26873	17529	11580	15854	26873	17529	11580	15854	5	5	5	5	1715000000	7				265	9147;20610;21219	True;True;True	9551;21514;22142	14673;14674;14675;33441;33442;34369;34370	15073;15074;15075;34330;34331;35265;35266	15073;34331;35266		
O15439	O15439	5	5	4	Multidrug resistance-associated protein 4	ABCC4	>sp|O15439|MRP4_HUMAN Multidrug resistance-associated protein 4 OS=Homo sapiens GN=ABCC4 PE=1 SV=3	1	5	5	4	4	4	3.3	149.52	1325	1325	10.4		1								1	1		1			1			0	14.79	26186	21085	21357	23811	26186	21085	21357	23811	2	2	2	2	154690000	5				266	655;13515;13544;16159;24661	True;True;True;True;True	679;14107;14136;16877;25935	1059;21715;21753;26416;40068	1095;22292;22330;27167;41092	1095;22292;22330;27167;41092		
O15440	O15440	1	1	1	Multidrug resistance-associated protein 5	ABCC5	>sp|O15440|MRP5_HUMAN Multidrug resistance-associated protein 5 OS=Homo sapiens GN=ABCC5 PE=1 SV=2	1	1	1	1	0.8	0.8	0.8	160.66	1437	1437	12												1							0.0030081	2.0046	0	0	0	0	0	0	0	0	0	0	0	0	33174000	1				267	32933	True	34618	53046	54405	54405		
O15446	O15446	3	3	3	DNA-directed RNA polymerase I subunit RPA34	CD3EAP	>sp|O15446|RPA34_HUMAN DNA-directed RNA polymerase I subunit RPA34 OS=Homo sapiens GN=CD3EAP PE=1 SV=1	1	3	3	3	11	11	11	54.985	510	510	5.33	1				1					1									0	17.05	7138.8	5692.1	6913.9	6942.3	7138.8	5692.1	6913.9	6942.3	2	2	2	2	138740000	3				268	10752;12124;35679	True;True;True	11230;12669;37517	17242;19504;57554	17712;20032;59055	17712;20032;59055		
O15460	O15460	8	8	8	Prolyl 4-hydroxylase subunit alpha-2	P4HA2	>sp|O15460|P4HA2_HUMAN Prolyl 4-hydroxylase subunit alpha-2 OS=Homo sapiens GN=P4HA2 PE=1 SV=1	1	8	8	8	15	15	15	60.901	535	535	7.38			2	1		1	1		2									1	0	23.65	22934	17744	13197	14391	22934	17744	13197	14391	3	3	3	3	372780000	8				269	13085;21663;24956;27121;27581;33300;38753;38754	True;True;True;True;True;True;True;True	13669;22594;26270;28543;29021;35008;40738;40739	21050;35050;40607;44074;44747;53660;62615;62616	21610;35987;41666;45208;45889;55032;64260;64261	21610;35987;41666;45208;45889;55032;64260;64261		
O15498	O15498	6	6	6	Synaptobrevin homolog YKT6	YKT6	>sp|O15498|YKT6_HUMAN Synaptobrevin homolog YKT6 OS=Homo sapiens GN=YKT6 PE=1 SV=1	1	6	6	6	31.8	31.8	31.8	22.417	198	198	6			1	1	3		1	2	1										0	18.793	61770	68606	63655	70545	61770	68606	63655	70545	7	7	7	7	770240000	9				270	442;19549;24989;30142;35122;37224	True;True;True;True;True;True	459;20414;26305;31680;36940;39148	709;710;31735;40666;48591;56641;60152;60153;60154	731;732;32584;41728;49779;58087;61729;61730;61731	732;32584;41728;49779;58087;61730		
O15504	O15504	5	5	5	Nucleoporin-like protein 2	NUPL2	>sp|O15504|NUPL2_HUMAN Nucleoporin-like protein 2 OS=Homo sapiens GN=NUPL2 PE=1 SV=1	1	5	5	5	14.4	14.4	14.4	44.871	423	423	14.5							1							1	2			2	0	41.393	19785	15316	16243	15879	19785	15316	16243	15879	4	4	4	4	162110000	6				271	5711;7078;18191;28189;28190	True;True;True;True;True	5976;7389;19006;29659;29660	9191;11395;11396;29696;45641;45642	9463;11704;11705;30519;46788;46789	9463;11704;30519;46788;46789		
O15511	O15511	4	4	4	Actin-related protein 2/3 complex subunit 5	ARPC5	>sp|O15511|ARPC5_HUMAN Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens GN=ARPC5 PE=1 SV=3	1	4	4	4	33.8	33.8	33.8	16.32	151	151	11.8				1				1			1							2	0	25.919	17300	20546	19342	19262	17300	20546	19342	19262	5	5	5	5	1776000000	5				272	1739;11714;26310;27248	True;True;True;True	1808;12236;27691;28677	2846;2847;18775;42797;44260	2944;2945;19282;43912;45394	2944;19282;43912;45394		
O15514	O15514	2	2	2	DNA-directed RNA polymerase II subunit RPB4	POLR2D	>sp|O15514|RPB4_HUMAN DNA-directed RNA polymerase II subunit RPB4 OS=Homo sapiens GN=POLR2D PE=1 SV=1	1	2	2	2	19.7	19.7	19.7	16.311	142	142	6.33	1								2										0	5.5074	5104.6	5177	4882.1	5561.6	5104.6	5177	4882.1	5561.6	2	2	2	2	196550000	3				273	2002;18644	True;True	2080;19478	3281;30313;30314	3384;31142;31143	3384;31143		
O15516;Q99743	O15516;Q99743	2;1	2;1	2;1	Circadian locomoter output cycles protein kaput;Neuronal PAS domain-containing protein 2	CLOCK;NPAS2	>sp|O15516|CLOCK_HUMAN Circadian locomoter output cycles protein kaput OS=Homo sapiens GN=CLOCK PE=1 SV=1;>sp|Q99743|NPAS2_HUMAN Neuronal PAS domain-containing protein 2 OS=Homo sapiens GN=NPAS2 PE=1 SV=3	2	2	2	2	1.7	1.7	1.7	95.303	846	846;824	14.5													1			1			0.00041314	3.4316	979.54	794.74	787.75	637.97	979.54	794.74	787.75	637.97	1	1	1	1	31420000	2				274	10309;16330	True;True	10765;17068	16517;26742	16962;27500	16962;27500		
O15530;Q6A1A2	O15530	3;1	3;1	3;1	3-phosphoinositide-dependent protein kinase 1	PDPK1	>sp|O15530|PDPK1_HUMAN 3-phosphoinositide-dependent protein kinase 1 OS=Homo sapiens GN=PDPK1 PE=1 SV=1	2	3	3	3	6.5	6.5	6.5	63.151	556	556;396	5				1	1	1													0	4.3207	24471	18761	17517	20480	24471	18761	17517	20480	3	3	3	3	74742000	3				275	19595;26753;39326	True;True;True	20461;28156;41334	31818;43505;63539	32670;44631;65216	32670;44631;65216		
O15533	O15533	3	3	3	Tapasin	TAPBP	>sp|O15533|TPSN_HUMAN Tapasin OS=Homo sapiens GN=TAPBP PE=1 SV=1	1	3	3	3	7.4	7.4	7.4	47.625	448	448	15.3														4	4	1		2	0	12.733	27089	18058	17321	18775	27089	18058	17321	18775	6	6	6	6	2025000000	11				276	11016;11310;38131	True;True;True	11506;11815;11816;40092	17661;17662;18133;18134;18135;18136;18137;18138;18139;61595;61596	18143;18144;18635;18636;18637;18638;18639;18640;18641;63224;63225	18144;18641;63225	90	93
O15534	O15534	1	1	1	Period circadian protein homolog 1	PER1	>sp|O15534|PER1_HUMAN Period circadian protein homolog 1 OS=Homo sapiens GN=PER1 PE=1 SV=2	1	1	1	1	0.8	0.8	0.8	136.21	1290	1290	5					1														0.0081418	1.5487	0	0	0	0	0	0	0	0	0	0	0	0	12551000	1				277	11998	True	12539	19291	19814	19814		
O15541	O15541	3	3	3	RING finger protein 113A	RNF113A	>sp|O15541|R113A_HUMAN RING finger protein 113A OS=Homo sapiens GN=RNF113A PE=1 SV=1	1	3	3	3	9.3	9.3	9.3	38.787	343	343	10.3					1				1								1		0	18.453	7777.2	10682	12207	11270	7777.2	10682	12207	11270	1	1	1	1	170480000	3				278	6016;28294;37635	True;True;True	6290;29766;39578	9696;45784;60789	9980;46933;62380	9980;46933;62380		
O15554	O15554	1	1	1	Intermediate conductance calcium-activated potassium channel protein 4	KCNN4	>sp|O15554|KCNN4_HUMAN Intermediate conductance calcium-activated potassium channel protein 4 OS=Homo sapiens GN=KCNN4 PE=1 SV=1	1	1	1	1	2.3	2.3	2.3	47.695	427	427	8								1											0.00021106	3.8543	0	0	0	0	0	0	0	0	0	0	0	0	0	1				279	36780	True	38674	59426	60983	60983		
