Protein accession	Protein description	Gene name	MW [kDa]	Score	Coverage [%]	Peptides	Unique peptides	PSMs	A	B	C	A/B Ratio	A/B P value
P51116	Fragile X mental retardation syndrome-related protein 2	FXR2	74.222	85.229	20.5	11	8	9	1.066	1.022	0.975	1.043	9.43E-01
P51148	Ras-related protein Rab-5C	RAB5C	23.482	91.51	47.7	8	5	14	1.099	0.934	0.939	1.177	3.73E-02
P51149	Ras-related protein Rab-7a	RAB7A	23.489	130.75	58.0	12	12	21	1.185	0.907	0.886	1.307	5.41E-09
P51151	Ras-related protein Rab-9A	RAB9A	22.837	50.806999999999995	25.4	5	5	9	1.154	0.874	0.959	1.32	1.65E-04
P51153	Ras-related protein Rab-13	RAB13	22.774	27.822	36.5	7	4	7	1.094	0.934	0.957	1.171	1.10E-01
P51157	Ras-related protein Rab-28	RAB28	24.840999999999998	1.8389	3.2	1	1	1					
P51159	Ras-related protein Rab-27A	RAB27A	24.868000000000002	9.4466	15.4	3	3	3	1.078	0.944	0.978	1.142	1.04E-01
P51397	Death-associated protein 1	DAP	11.164000000000001	9.7039	27.5	4	4	10	0.955	1.13	0.926	0.846	2.05E-02
P51398	28S ribosomal protein S29, mitochondrial	DAP3	45.566	75.333	19.6	6	6	11	1.201	0.9	0.858	1.334	2.45E-06
P51452	Dual specificity protein phosphatase 3	DUSP3	20.477999999999998	81.39	40.0	6	6	8	0.743	1.133	1.143	0.656	4.19E-03
P51531	Probable global transcription activator SNF2L2	SMARCA2	181.28	25.589000000000002	7.3	11	5	6	1.154	0.86	0.977	1.34	6.40E-03
P51532	Transcription activator BRG1	SMARCA4	184.64	48.18899999999999	10.6	17	11	13	1.146	0.929	0.988	1.234	4.31E-02
P51553	Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial	IDH3G	42.794	13.854000000000001	15.0	6	6	11	1.164	0.917	0.911	1.269	1.21E-02
P51570	Galactokinase	GALK1	42.272	67.146	24.2	9	9	14	0.702	1.084	1.105	0.648	6.09E-05
P51571	Translocon-associated protein subunit delta	SSR4	18.998	49.816	20.2	4	4	12	1.14	0.923	0.922	1.235	7.22E-04
P51572	B-cell receptor-associated protein 31	BCAP31	27.991	61.111000000000004	48.4	17	17	31	1.302	0.869	0.787	1.498	2.31E-21
P51580	Thiopurine S-methyltransferase	TPMT	28.18	12.17	18.4	5	5	6	0.615	1.358	1.073	0.453	6.77E-05
P51608	Methyl-CpG-binding protein 2	MECP2	52.44	10.549000000000001	7.8	3	3	4	1.114	0.915	0.965	1.217	
P51610	Host cell factor 1	HCFC1	208.73	176.66	15.4	27	27	38	1.047	0.944	1.031	1.11	2.72E-05
P51617	Interleukin-1 receptor-associated kinase 1	IRAK1	76.536	8.0598	2.9	2	2	3	0.901	1.056	1.169	0.853	1.01E-01
P51648	Fatty aldehyde dehydrogenase	ALDH3A2	54.847	69.741	25.2	11	11	17	1.187	0.944	0.868	1.257	1.01E-06
P51649	Succinate-semialdehyde dehydrogenase, mitochondrial	ALDH5A1	57.214	9.2847	10.3	7	7	8	1.157	0.844	1.019	1.371	1.68E-02
P51659	Peroxisomal multifunctional enzyme type 2	HSD17B4	79.685	261.58	37.0	22	22	39	1.225	0.924	0.792	1.326	4.97E-13
P51665	26S proteasome non-ATPase regulatory subunit 7	PSMD7	37.025	15.347999999999999	12.0	4	4	6	0.939	1.03	1.054	0.912	2.08E-01
Q9Y2X8	Ubiquitin-conjugating enzyme E2 D4	UBE2D4	16.649	3.7566	7.5	1	1	1					
P51690	Arylsulfatase E	ARSE	65.668	36.196	5.8	3	3	4	1.236	0.923	0.818	1.339	9.16E-02
P51692	Signal transducer and activator of transcription 5B	STAT5B	89.865	26.613000000000003	9.4	6	2	4	0.713	1.021	1.297	0.698	1.03E-02
P51784	Ubiquitin carboxyl-terminal hydrolase 11	USP11	109.82	24.068	6.5	6	6	10	0.74	0.997	1.295	0.742	2.09E-04
P51809	Vesicle-associated membrane protein 7	VAMP7	24.935	17.538	10.0	3	3	3	1.277	0.91	0.786	1.404	4.01E-02
P51812	Ribosomal protein S6 kinase alpha-3	RPS6KA3	83.735	125.94	35.5	23	18	24	0.77	1.104	1.164	0.697	3.30E-10
P51858	Hepatoma-derived growth factor	HDGF	26.788	87.436	43.3	12	11	32	0.787	1.115	1.13	0.706	5.77E-17
P51946	Cyclin-H	CCNH	37.643	4.918	5.9	2	2	3	1.058	0.929	1.015	1.139	
P51948	CDK-activating kinase assembly factor MAT1	MNAT1	35.823	32.542	10.7	3	3	3	1.101	0.962	0.932	1.144	
P51965	Ubiquitin-conjugating enzyme E2 E1	UBE2E1	21.404	3.2771	5.7	1	1	2	0.798	1.154	1.079	0.692	
P51970	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8	NDUFA8	20.105	8.3216	27.9	5	5	7	1.338	0.898	0.758	1.491	3.56E-05
P51991	Heterogeneous nuclear ribonucleoprotein A3	HNRNPA3	39.594	193.85	49.7	16	15	25	1.168	0.949	0.867	1.231	8.82E-05
P52209	6-phosphogluconate dehydrogenase, decarboxylating	PGD	53.138999999999996	180.36	42.0	21	21	46	0.73	1.176	1.109	0.621	6.25E-20
P52272	Heterogeneous nuclear ribonucleoprotein M	HNRNPM	77.515	285.66	59.6	44	44	105	1.163	0.899	0.927	1.294	1.91E-28
P52292	Importin subunit alpha-1	KPNA2	57.861000000000004	147.58	26.5	10	10	16	0.79	0.807	1.48	0.978	4.77E-01
P52294	Importin subunit alpha-5	KPNA1	60.221000000000004	57.256	21.6	14	8	11	0.996	0.965	1.086	1.032	5.83E-01
P52298	Nuclear cap-binding protein subunit 2	NCBP2	18.000999999999998	14.856	31.4	5	5	5	1.047	1.003	0.951	1.044	
P52306	Rap1 GTPase-GDP dissociation stimulator 1	RAP1GDS1	66.316	14.825	7.9	4	4	5	0.771	1.157	1.107	0.666	3.31E-02
P52429	Diacylglycerol kinase epsilon	DGKE	63.926	4.6318	2.3	1	1	1					
P52434	DNA-directed RNA polymerases I, II, and III subunit RPABC3	POLR2H	17.143	10.819	18.0	2	2	3	0.93	1.114	0.995	0.835	1.18E-01
P52435	DNA-directed RNA polymerase II subunit RPB11-a	POLR2J	13.293	6.2961	24.8	3	3	4	0.982	1.012	1.016	0.97	8.92E-01
P52564	Dual specificity mitogen-activated protein kinase kinase 6	MAP2K6	37.492	13.137	22.5	8	4	4	0.867	1.17	0.982	0.741	1.39E-01
P52565	Rho GDP-dissociation inhibitor 1	ARHGDIA	23.206999999999997	57.666000000000004	29.9	7	7	10	0.682	1.171	1.194	0.582	3.85E-05
P52569	Low affinity cationic amino acid transporter 2	SLC7A2	71.672	2.6173	1.7	1	1	1					
P52594	Arf-GAP domain and FG repeat-containing protein 1	AGFG1	58.25899999999999	18.95	10.9	6	5	5	0.921	1.118	0.975	0.824	1.14E-02
P52597	Heterogeneous nuclear ribonucleoprotein F	HNRNPF	45.67100000000001	115.13	25.8	9	7	29	1.066	0.947	0.972	1.126	3.90E-03
P52630	Signal transducer and activator of transcription 2	STAT2	97.915	4.8936	2.6	2	2	2	0.806	1.093	1.132	0.737	
P52655	Transcription initiation factor IIA subunit 1	GTF2A1	41.513000000000005	3.1392	2.9	1	1	2	0.933	1.139	0.941	0.819	2.49E-02
P52657	Transcription initiation factor IIA subunit 2	GTF2A2	12.457	3.7135	17.4	2	2	2	0.917	1.122	0.976	0.817	
P52701	DNA mismatch repair protein Msh6	MSH6	152.78	156.36	23.6	31	31	42	0.925	0.974	1.085	0.95	1.50E-01
P52732	Kinesin-like protein KIF11	KIF11	119.16	60.998999999999995	18.8	21	21	23	0.677	0.862	1.454	0.785	2.72E-02
P52735	Guanine nucleotide exchange factor VAV2	VAV2	101.29	18.842	9.0	8	8	8	0.844	1.162	1.018	0.726	5.45E-03
P52739	Zinc finger protein 131	ZNF131	71.421	2.9337	4.2	2	2	2	1.182	0.93	0.872	1.272	2.45E-02
P52756	RNA-binding protein 5	RBM5	92.15299999999999	9.3853	2.7	2	1	1	1.067	0.922	1.011	1.157	
P52758	Ribonuclease UK114	HRSP12	14.494000000000002	17.544	32.1	4	4	6	0.969	1.014	1.034	0.956	2.18E-02
P52788	Spermine synthase	SMS	41.268	32.762	19.4	8	8	9	0.603	1.14	1.301	0.529	1.63E-04
P52789	Hexokinase-2	HK2	102.38	22.905	5.8	5	3	4	1.095	1.002	0.897	1.093	
P52815	39S ribosomal protein L12, mitochondrial	MRPL12	21.348000000000003	21.601	16.2	4	4	7	1.206	0.883	0.881	1.366	3.91E-03
P52888	Thimet oligopeptidase	THOP1	78.839	68.396	26.9	19	19	27	0.713	1.173	1.227	0.608	1.38E-12
P52907	F-actin-capping protein subunit alpha-1	CAPZA1	32.922	121.85	36.0	7	6	11	0.961	1.058	0.978	0.908	6.65E-02
P52943	Cysteine-rich protein 2	CRIP2	22.491999999999997	72.788	22.1	4	4	4	0.766	1.176	1.08	0.651	1.12E-03
P52948	Nuclear pore complex protein Nup98-Nup96	NUP98	197.58	118.16	16.3	27	27	36	1.1	0.952	0.94	1.155	3.67E-08
P53004	Biliverdin reductase A	BLVRA	33.428000000000004	41.63399999999999	25.7	8	8	14	0.707	1.177	1.134	0.601	1.43E-09
P53007	Tricarboxylate transport protein, mitochondrial	SLC25A1	34.012	48.281000000000006	30.2	11	11	24	1.317	0.844	0.834	1.56	4.38E-10
P53041	Serine/threonine-protein phosphatase 5	PPP5C	56.878	40.634	18.4	10	10	15	0.814	1.146	1.078	0.71	4.43E-05
P53350	Serine/threonine-protein kinase PLK1	PLK1	68.25399999999999	1.8918	2.7	2	2	2	0.986	0.841	1.187	1.172	
P53355	Death-associated protein kinase 1	DAPK1	160.04	2.157	1.1	2	2	2					
P53365	Arfaptin-2	ARFIP2	37.855	23.478	14.1	4	4	6	0.886	0.976	1.164	0.908	6.01E-01
P53367	Arfaptin-1	ARFIP1	41.738	17.432000000000002	13.4	5	5	8	0.925	1.078	0.993	0.858	3.11E-02
P53384	Cytosolic Fe-S cluster assembly factor NUBP1	NUBP1	34.534	13.08	20.6	5	5	7	0.688	1.146	1.154	0.6	2.83E-04
P53396	ATP-citrate synthase	ACLY	120.84	323.31	41.7	46	46	99	0.781	1.055	1.178	0.74	3.76E-29
P53567	CCAAT/enhancer-binding protein gamma	CEBPG	16.408	1.7552	9.3	1	1	1					
P53582	Methionine aminopeptidase 1	METAP1	43.215	6.0101	9.8	2	2	2					
P53597	Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial	SUCLG1	36.249	41.647	27.7	8	8	15	1.232	0.93	0.837	1.325	2.38E-08
P53602	Diphosphomevalonate decarboxylase	MVD	43.403999999999996	33.981	22.8	7	7	10	0.78	1.082	1.112	0.721	2.23E-03
P53609	Geranylgeranyl transferase type-1 subunit beta	PGGT1B	42.368	3.3503	6.1	2	2	2					
P53611	Geranylgeranyl transferase type-2 subunit beta	RABGGTB	36.924	4.2984	6.0	2	2	3	0.875	1.138	1.008	0.769	7.95E-02
P53618	Coatomer subunit beta	COPB1	107.14	170.05	25.9	21	21	28	0.95	1.106	0.984	0.859	2.99E-07
P53621	Coatomer subunit alpha	COPA	138.34	104.21	21.9	25	25	39	0.978	1.037	0.984	0.943	3.82E-03
P53675	Clathrin heavy chain 2	CLTCL1	187.03	15.857999999999999	9.2	15	4	4	0.985	1.022	1.001	0.964	4.10E-01
P53680	AP-2 complex subunit sigma	AP2S1	17.018	10.991	14.8	2	2	3	1.166	1.138	0.676	1.024	8.75E-01
P53701	Cytochrome c-type heme lyase	HCCS	30.601	27.873	26.5	7	7	10	1.204	0.866	0.884	1.39	5.51E-04
P53816	HRAS-like suppressor 3	PLA2G16	17.936	3.8049	7.4	1	1	1					
P53985	Monocarboxylate transporter 1	SLC16A1	53.943999999999996	22.816	3.2	3	3	5	1.167	0.925	0.982	1.262	1.08E-02
P53990	IST1 homolog	IST1	39.75	55.713	16.8	6	6	7	0.758	1.102	1.161	0.688	2.41E-05
P53992	Protein transport protein Sec24C	SEC24C	118.32	115.68	19.1	17	15	26	0.925	1.054	1.046	0.878	6.73E-04
P53999	Activated RNA polymerase II transcriptional coactivator p15	SUB1	14.395	43.031000000000006	37.0	6	6	24	0.81	1.076	1.133	0.753	9.01E-12
P54098	DNA polymerase subunit gamma-1	POLG	139.56	14.708	3.8	4	4	4	1.116	0.891	0.988	1.253	
P54105	Methylosome subunit pICln	CLNS1A	26.215	15.557	11.0	2	2	6	0.702	1.149	1.194	0.611	
P54132	Bloom syndrome protein	BLM	159.0	7.4022	2.8	4	4	6	0.938	0.898	1.183	1.045	4.89E-01
P54136	Arginine--tRNA ligase, cytoplasmic	RARS	75.378	185.94	48.0	30	30	58	0.85	1.05	1.113	0.81	7.34E-13
P54252	Ataxin-3	ATXN3	41.78	2.5756	2.2	1	1	2					
P54577	Tyrosine--tRNA ligase, cytoplasmic	YARS	59.143	82.914	42.0	23	23	38	0.788	1.084	1.129	0.727	3.06E-13
P54578	Ubiquitin carboxyl-terminal hydrolase 14	USP14	56.068000000000005	122.99	42.7	16	16	20	0.749	1.085	1.15	0.69	4.13E-06
P54619	5-AMP-activated protein kinase subunit gamma-1	PRKAG1	37.579	8.0243	6.0	2	2	3	0.907	1.062	1.049	0.854	
P54652	Heat shock-related 70 kDa protein 2	HSPA2	70.02	57.422	32.1	23	7	9	1.047	1.086	0.857	0.964	7.68E-01
P54707	Potassium-transporting ATPase alpha chain 2	ATP12A	115.51	-2.0	3.4	4	1	1	1.19	0.93	0.863	1.28	
P54709	Sodium/potassium-transporting ATPase subunit beta-3	ATP1B3	31.511999999999997	75.712	35.1	11	11	19	1.337	1.015	0.715	1.317	1.51E-05
P54725	UV excision repair protein RAD23 homolog A	RAD23A	39.609	8.7772	19.3	8	5	7	0.828	1.184	1.013	0.699	2.35E-03
P54727	UV excision repair protein RAD23 homolog B	RAD23B	43.17100000000001	29.17	19.6	9	6	11	0.906	1.079	1.028	0.84	3.35E-05
P54760	Ephrin type-B receptor 4	EPHB4	108.27	11.802999999999999	3.0	3	3	3	1.009	0.779	1.224	1.295	
P54819	Adenylate kinase 2, mitochondrial	AK2	26.476999999999997	100.67	50.6	13	13	28	1.139	0.915	0.97	1.245	5.28E-10
P54886	Delta-1-pyrroline-5-carboxylate synthase	ALDH18A1	87.301	132.85	24.7	17	17	32	1.196	0.926	0.87	1.292	6.48E-05
P54920	Alpha-soluble NSF attachment protein	NAPA	33.232	73.637	38.0	10	10	12	1.051	0.973	0.978	1.08	4.27E-01
P55010	Eukaryotic translation initiation factor 5	EIF5	49.222	60.979	25.8	11	11	24	0.853	1.072	1.129	0.796	2.42E-09
P55011	Solute carrier family 12 member 2	SLC12A2	131.45	30.42	7.0	6	6	6	1.174	0.95	0.861	1.235	1.09E-02
P55036	26S proteasome non-ATPase regulatory subunit 4	PSMD4	40.736	102.04	23.3	9	5	10	0.929	1.078	1.01	0.861	1.98E-04
P55039	Developmentally-regulated GTP-binding protein 2	DRG2	40.746	24.511999999999997	17.3	6	6	9	0.92	1.028	1.074	0.894	1.69E-02
Q13133	Oxysterols receptor LXR-alpha	NR1H3	50.395	1.7137	3.1	1	1	1	0.901	1.009	1.111	0.893	
P55060	Exportin-2	CSE1L	110.42	241.96	25.2	24	24	46	0.746	1.096	1.182	0.68	1.25E-14
P55072	Transitional endoplasmic reticulum ATPase	VCP	89.321	232.08	46.5	35	35	76	0.891	1.095	1.024	0.813	2.14E-19
P55081	Microfibrillar-associated protein 1	MFAP1	51.958	22.949	18.9	7	7	9	1.111	0.937	0.924	1.186	2.46E-03
P55082	Microfibril-associated glycoprotein 3	MFAP3	40.165	3.2652	3.0	1	1	1					
P55084	Trifunctional enzyme subunit beta, mitochondrial	HADHB	51.294	162.78	37.1	18	18	51	1.298	0.921	0.745	1.409	4.96E-23
P55145	Mesencephalic astrocyte-derived neurotrophic factor	MANF	20.7	66.411	39.0	8	8	11	1.128	0.99	0.902	1.139	3.82E-03
P55160	Nck-associated protein 1-like	NCKAP1L	128.15	1.8372	0.7	1	1	2	0.774	0.786	1.486	0.985	9.53E-01
P55196	Afadin	MLLT4	206.8	43.648	2.1	3	3	4	0.942	0.944	1.131	0.998	
P55198	Protein AF-17	MLLT6	112.07	1.5649	0.6	1	1	1					
P55201	Peregrin	BRPF1	137.5	3.5486	1.3	2	2	2	1.136	0.8	1.059	1.42	
P55209	Nucleosome assembly protein 1-like 1	NAP1L1	45.373999999999995	94.618	24.3	9	7	21	0.737	1.13	1.153	0.652	3.98E-11
P55210	Caspase-7	CASP7	34.275999999999996	19.637	8.6	2	2	3	0.741	1.164	1.134	0.637	1.30E-02
P55263	Adenosine kinase	ADK	40.545	50.751000000000005	26.5	10	10	15	0.606	1.406	1.038	0.431	1.33E-05
P55265	Double-stranded RNA-specific adenosine deaminase	ADAR	136.06	104.85	19.7	25	25	33	1.132	0.918	0.906	1.234	3.67E-08
P55290	Cadherin-13	CDH13	78.286	6.6891	1.7	1	1	1	1.074	0.811	1.118	1.324	
P55327	Tumor protein D52	TPD52	24.326999999999998	86.429	47.3	9	9	16	0.88	1.092	1.052	0.805	3.73E-08
P55347	Homeobox protein PKNOX1	PKNOX1	47.606	3.4725	3.9	2	2	3	1.004	1.008	0.995	0.996	
P55735	Protein SEC13 homolog	SEC13	35.54	69.782	23.3	6	6	8	1.044	1.081	0.969	0.966	5.20E-01
P55769	NHP2-like protein 1	NHP2L1	14.173	66.63600000000001	46.1	6	6	8	1.096	0.921	0.99	1.19	2.02E-03
P55786	Puromycin-sensitive aminopeptidase	NPEPPS	103.28	112.18	23.0	21	21	30	0.768	1.158	1.098	0.663	6.78E-15
P55795	Heterogeneous nuclear ribonucleoprotein H2	HNRNPH2	49.263000000000005	127.6	36.5	14	5	16	1.16	0.946	0.895	1.226	4.36E-05
P55809	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial	OXCT1	56.157	115.41	38.3	19	19	50	1.164	0.889	0.921	1.31	1.55E-17
P55854	Small ubiquitin-related modifier 3	SUMO3	11.637	5.6395	24.3	3	2	3	0.878	1.142	0.939	0.769	1.59E-01
P55884	Eukaryotic translation initiation factor 3 subunit B	EIF3B	92.48	105.05	23.8	18	18	35	0.836	1.083	1.086	0.772	1.84E-16
P55957	BH3-interacting domain death agonist	BID	21.994	23.381	13.3	2	2	4	0.852	1.114	1.072	0.765	8.05E-04
P56134	ATP synthase subunit f, mitochondrial	ATP5J2	10.918	14.543	25.5	2	2	7	1.349	0.926	0.684	1.457	2.00E-08
P56182	Ribosomal RNA processing protein 1 homolog A	RRP1	52.839	19.221	13.4	5	5	8	1.197	0.897	0.913	1.334	5.15E-02
P56192	Methionine--tRNA ligase, cytoplasmic	MARS	101.11	82.926	23.2	16	16	20	0.81	1.042	1.186	0.778	1.06E-04
P56199	Integrin alpha-1	ITGA1	130.85	15.684000000000001	5.7	7	7	7	1.099	0.948	0.948	1.159	1.09E-02
P56211	cAMP-regulated phosphoprotein 19	ARPP19	12.323	17.632	50.0	4	3	3	0.821	1.017	1.194	0.807	
P56270	Myc-associated zinc finger protein	MAZ	48.607	2.7652	2.1	1	1	2					
P56277	Cx9C motif-containing protein 4	CMC4	7.7469	6.4685	47.1	3	3	3	0.86	1.083	1.081	0.795	6.44E-02
P56282	DNA polymerase epsilon subunit 2	POLE2	59.536	3.2673	2.1	1	1	1	1.046	0.984	0.971	1.063	
P56378	6.8 kDa mitochondrial proteolipid	MP68	6.662000000000001	2.9127	27.6	2	2	4	1.298	0.947	0.719	1.371	1.77E-02
Q5VTU8	ATP synthase subunit epsilon-like protein, mitochondrial	ATP5EP2	5.8068	2.3157	29.4	2	2	4	1.214	0.919	0.841	1.321	1.00E-02
P56385	ATP synthase subunit e, mitochondrial	ATP5I	7.9331	20.8	42.0	4	4	8	1.292	0.894	0.784	1.445	2.17E-03
P56537	Eukaryotic translation initiation factor 6	EIF6	26.599	64.169	30.2	5	5	12	0.906	1.064	1.038	0.852	7.44E-04
P56545	C-terminal-binding protein 2	CTBP2	48.943999999999996	18.2	11.2	5	5	8	1.035	0.932	0.952	1.112	3.73E-02
P56556	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6	NDUFA6	17.871	4.8736	10.4	2	2	3					
P56589	Peroxisomal biogenesis factor 3	PEX3	42.138999999999996	15.713	4.6	1	1	2	1.435	0.878	0.639	1.634	
P56937	3-keto-steroid reductase	HSD17B7	38.205999999999996	14.092	11.4	3	3	4	1.287	0.939	0.744	1.371	
P56945	Breast cancer anti-estrogen resistance protein 1	BCAR1	93.37100000000001	28.331999999999997	2.8	2	2	2	0.666	1.213	1.168	0.549	
P56962	Syntaxin-17	STX17	33.403	3.4167	5.0	1	1	1	1.119	0.846	1.03	1.323	
P57076	UPF0769 protein C21orf59	C21orf59	33.224000000000004	30.331	9.7	3	3	3	0.68	1.296	1.066	0.524	6.72E-02
P57081	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4	WDR4	45.489	14.724	7.8	2	2	2	0.782	1.137	1.114	0.688	
P57088	Transmembrane protein 33	TMEM33	27.978	4.7981	7.7	2	2	2					
P57105	Synaptojanin-2-binding protein	SYNJ2BP	15.927999999999999	12.174000000000001	8.3	1	1	2	1.235	1.023	0.717	1.206	1.86E-01
P57678	Gem-associated protein 4	GEMIN4	120.04	25.686	11.0	10	10	11	0.874	0.973	1.121	0.898	8.67E-02
P57721	Poly(rC)-binding protein 3	PCBP3	39.465	12.527999999999999	21.8	7	1	2	0.885	1.025	1.113	0.863	
P57737	Coronin-7	CORO7	100.6	8.5185	4.5	4	4	4	0.927	1.027	1.063	0.903	
P57740	Nuclear pore complex protein Nup107	NUP107	106.37	69.89699999999999	12.9	11	11	17	1.036	0.91	1.084	1.138	1.04E-03
P57772	Selenocysteine-specific elongation factor	EEFSEC	65.304	64.035	14.6	7	7	9	0.847	1.035	1.053	0.818	6.93E-03
P58107	Epiplakin	EPPK1	555.61	323.31	49.5	102	95	178	1.127	0.968	0.884	1.164	3.56E-26
P58546	Myotrophin	MTPN	12.895	132.35	40.7	6	6	11	0.608	1.256	1.17	0.484	2.51E-09
P58557	Putative ribonuclease	YBEY	19.298	7.622999999999999	10.8	2	2	4	1.306	0.841	0.823	1.553	
P59780	AP-3 complex subunit sigma-2	AP3S2	22.017	11.107999999999999	10.9	2	2	2	0.902	1.173	0.94	0.769	
P59998	Actin-related protein 2/3 complex subunit 4	ARPC4	19.667	10.655	23.2	4	4	8	0.858	1.016	1.115	0.844	8.60E-02
P60174	Triosephosphate isomerase	TPI1	30.791	288.9	65.0	18	18	79	0.64	1.162	1.226	0.551	3.17E-35
P60228	Eukaryotic translation initiation factor 3 subunit E	EIF3E	52.22	68.232	38.2	15	15	23	0.874	1.085	1.069	0.806	3.18E-07
P60468	Protein transport protein Sec61 subunit beta	SEC61B	9.9743	28.842	57.3	5	5	9	1.323	0.856	0.767	1.546	6.09E-02
P60510	Serine/threonine-protein phosphatase 4 catalytic subunit	PPP4C	35.08	22.581	18.6	4	2	5	1.002	1.066	0.976	0.941	4.43E-01
P60520	Gamma-aminobutyric acid receptor-associated protein-like 2	GABARAPL2	13.667	2.783	17.1	2	2	3	0.844	1.225	0.953	0.689	
P60604	Ubiquitin-conjugating enzyme E2 G2	UBE2G2	18.566	6.1344	14.5	1	1	2	0.991	1.226	0.786	0.808	
P60660	Myosin light polypeptide 6	MYL6	16.93	68.818	52.3	7	7	31	0.913	1.092	1.061	0.836	7.70E-07
P63261	Actin, cytoplasmic 2	ACTG1	41.792	323.31	66.9	26	10	84	1.038	0.971	0.98	1.069	1.90E-04
P60842	Eukaryotic initiation factor 4A-I	EIF4A1	46.153	158.57	41.6	22	11	30	0.772	1.099	1.125	0.702	1.03E-12
P60866	40S ribosomal protein S20	RPS20	13.373	38.169000000000004	30.3	5	5	14	1.004	1.031	0.95	0.974	6.18E-01
P60891	Ribose-phosphate pyrophosphokinase 1	PRPS1	34.834	83.705	31.1	11	5	5	0.78	1.156	1.097	0.674	1.98E-02
P60900	Proteasome subunit alpha type-6	PSMA6	27.399	83.38600000000001	48.8	11	11	21	0.881	1.042	1.04	0.845	1.06E-04
P60903	Protein S100-A10	S100A10	11.203	25.669	45.4	3	3	9	1.078	0.996	0.908	1.083	2.52E-02
P60953	Cell division control protein 42 homolog	CDC42	21.258000000000003	36.46	31.4	5	4	13	0.984	1.022	0.994	0.963	6.85E-02
P60981	Destrin	DSTN	18.506	20.969	32.1	6	4	8	0.768	1.112	1.191	0.691	1.40E-03
P60983	Glia maturation factor beta	GMFB	16.713	10.652999999999999	20.4	3	3	6	0.815	1.224	0.974	0.666	1.72E-02
P61006	Ras-related protein Rab-8A	RAB8A	23.668000000000003	46.373999999999995	47.8	11	6	7	1.07	0.955	0.944	1.121	2.55E-01
P61009	Signal peptidase complex subunit 3	SPCS3	20.313	23.004	17.8	3	3	5	1.2	0.983	0.866	1.221	2.41E-04
P61011	Signal recognition particle 54 kDa protein	SRP54	55.70399999999999	142.62	28.2	13	13	18	1.029	1.016	0.951	1.013	3.90E-01
P61019	Ras-related protein Rab-2A	RAB2A	23.545	85.96700000000001	49.5	10	10	20	1.189	0.943	0.913	1.261	1.75E-06
P61020	Ras-related protein Rab-5B	RAB5B	23.706999999999997	33.317	42.3	7	4	7	1.064	0.875	1.032	1.216	9.91E-03
P61024	Cyclin-dependent kinases regulatory subunit 1	CKS1B	9.6601	32.186	32.9	3	2	3	0.654	1.046	1.354	0.625	1.66E-01
P61026	Ras-related protein Rab-10	RAB10	22.541	15.788	29.0	8	6	11	1.13	0.922	0.936	1.226	6.67E-03
P61077	Ubiquitin-conjugating enzyme E2 D3	UBE2D3	16.687	3.1144	12.9	2	2	3	0.796	1.062	1.176	0.749	3.11E-01
P61081	NEDD8-conjugating enzyme Ubc12	UBE2M	20.9	58.463	43.7	8	8	11	0.844	1.1	1.039	0.767	7.85E-03
P61086	Ubiquitin-conjugating enzyme E2 K	UBE2K	22.406	32.428000000000004	40.0	7	7	12	0.78	1.159	1.108	0.673	3.34E-07
P61088	Ubiquitin-conjugating enzyme E2 N	UBE2N	17.137999999999998	30.855	38.2	7	7	13	0.592	1.257	1.08	0.471	2.54E-08
P61106	Ras-related protein Rab-14	RAB14	23.897	63.86	51.6	11	11	22	1.119	0.905	0.99	1.237	5.60E-06
P61158	Actin-related protein 3	ACTR3	47.371	97.20700000000001	47.6	18	18	30	0.878	1.098	1.03	0.799	8.50E-09
P61160	Actin-related protein 2	ACTR2	44.76	75.766	30.5	10	10	14	0.883	1.069	1.053	0.826	3.30E-06
P61163	Alpha-centractin	ACTR1A	42.613	45.923	19.4	5	3	3	0.799	1.151	1.025	0.694	3.33E-02
P61201	COP9 signalosome complex subunit 2	COPS2	51.596000000000004	68.296	23.9	12	12	16	0.872	1.103	1.045	0.791	5.92E-05
P84077	ADP-ribosylation factor 1	ARF1	20.697	115.99	52.5	8	5	16	0.898	1.101	0.995	0.815	3.77E-04
P61221	ATP-binding cassette sub-family E member 1	ABCE1	67.314	72.414	24.5	13	13	19	0.84	1.013	1.184	0.829	6.02E-05
P61224	Ras-related protein Rap-1b	RAP1B	20.825	68.441	46.7	9	4	6	1.14	0.945	0.904	1.207	4.75E-03
P61225	Ras-related protein Rap-2b	RAP2B	20.504	12.583	19.1	4	2	3	1.054	0.909	1.044	1.16	5.69E-03
P61244	Protein max	MAX	18.275	9.2442	17.5	3	3	6	1.046	0.784	1.17	1.334	1.61E-03
P61247	40S ribosomal protein S3a	RPS3A	29.945	103.61	51.1	16	16	31	1.125	1.0	0.879	1.125	3.06E-04
P61254	60S ribosomal protein L26	RPL26	17.258	19.762999999999998	51.0	10	2	4	1.33	0.816	0.956	1.63	3.96E-02
